"タイトル","URL","現在カテゴリ","想定読者","読者の困りごと","検索意図","記事種類","3本柱","アフィリエイト案件ID","案件との一致","SOAM Linkとの一致","関連記事","情報確認日","次回見直し日","必要な処理","統合候補"
"AIを使って副業を始めた人が絶対知っておくべき確定申告の基本","https://media.soam-creative.com/articles/article-01","お金・確定申告","商品やサービスを紹介し、誠実な収益導線を作りたい個人事業主・発信者","読者の課題解決と広告収益を、押し売りにならない形で両立できていない。","「AIを使って副業を始めた人が絶対知っておくべき確定申告の基本」について、判断基準と具体的な進め方を知りたい。","affiliate","必要な人へ届ける","moneyforward-accounting|tax-audit-membership","active案件・記事テーマ一致を確認","主導線にはしない","article-02|article-06|article-07","2026-06-21","2026-07-20","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"AIツールのサブスク、経費に落とせる？個人事業主の節税入門","https://media.soam-creative.com/articles/article-02","お金・確定申告","商品やサービスを紹介し、誠実な収益導線を作りたい個人事業主・発信者","読者の課題解決と広告収益を、押し売りにならない形で両立できていない。","「AIツールのサブスク、経費に落とせる？個人事業主の節税入門」について、判断基準と具体的な進め方を知りたい。","affiliate","必要な人へ届ける","moneyforward-accounting","active案件・記事テーマ一致を確認","主導線にはしない","article-01|article-06|article-07","2026-06-21","2026-07-20","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"AIだけで副業を始めるとき、最初にやるべき5つのこと","https://media.soam-creative.com/articles/article-03","副業・キャリア","集客や販売を一人で担っている小規模事業者・個人サービス提供者","発信や施策を増やしても、必要な人が次に何をすればよいか伝わっていない。","「AIだけで副業を始めるとき、最初にやるべき5つのこと」について、判断基準と具体的な進め方を知りたい。","marketing","必要な人へ届ける","","表示案件なし","主導線にはしない","article-05|article-11|article-15","2026-06-21","2026-12-17","KEEP|REWRITE|REMOVE_LINK_CTA",""
"うまく書けない人へ。AIを使ったら変わった話","https://media.soam-creative.com/articles/article-04","AI活用","AIを仕事に取り入れたい個人事業主・小規模事業者","AIへ任せる範囲と、人が確認する範囲を分けられず、かえって作業が増えている。","「うまく書けない人へ。AIを使ったら変わった話」について、判断基準と具体的な進め方を知りたい。","ai","一人で回す仕組み","","表示案件なし","主導線にはしない","article-12|article-16|article-19","2026-06-21","2026-12-17","KEEP|REMOVE_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"昨日までフリーランスを考えていなかった人が、AIで副業を始めるまでのリアルなステップ","https://media.soam-creative.com/articles/article-05","副業・キャリア","集客や販売を一人で担っている小規模事業者・個人サービス提供者","発信や施策を増やしても、必要な人が次に何をすればよいか伝わっていない。","「昨日までフリーランスを考えていなかった人が、AIで副業を始めるまでのリアルなステップ」について、判断基準と具体的な進め方を知りたい。","marketing","必要な人へ届ける","coconala","active案件・記事テーマ一致を確認","主導線にはしない","article-03|article-11|article-15","2026-06-21","2026-07-20","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"副業が育ってきたら考える「法人化」のタイミングと手順","https://media.soam-creative.com/articles/article-06","お金・確定申告","商品やサービスを紹介し、誠実な収益導線を作りたい個人事業主・発信者","読者の課題解決と広告収益を、押し売りにならない形で両立できていない。","「副業が育ってきたら考える「法人化」のタイミングと手順」について、判断基準と具体的な進め方を知りたい。","affiliate","必要な人へ届ける","tax-audit-membership","active案件・記事テーマ一致を確認","主導線にはしない","article-01|article-02|article-07","2026-06-22","2026-07-21","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"フリーランスの「初めての請求書」、AIと無料ツールで作る方法","https://media.soam-creative.com/articles/article-07","お金・確定申告","商品やサービスを紹介し、誠実な収益導線を作りたい個人事業主・発信者","読者の課題解決と広告収益を、押し売りにならない形で両立できていない。","「フリーランスの「初めての請求書」、AIと無料ツールで作る方法」について、判断基準と具体的な進め方を知りたい。","affiliate","必要な人へ届ける","mitsumotaro|coconala","active案件・記事テーマ一致を確認","主導線にはしない","article-01|article-02|article-06","2026-06-22","2026-07-21","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"インボイス制度って結局どうすれば？AI副業初心者向けにやさしく解説","https://media.soam-creative.com/articles/article-08","お金・確定申告","商品やサービスを紹介し、誠実な収益導線を作りたい個人事業主・発信者","読者の課題解決と広告収益を、押し売りにならない形で両立できていない。","「インボイス制度って結局どうすれば？AI副業初心者向けにやさしく解説」について、判断基準と具体的な進め方を知りたい。","affiliate","必要な人へ届ける","moneyforward-accounting|tax-audit-membership","active案件・記事テーマ一致を確認","主導線にはしない","article-01|article-02|article-06","2026-06-22","2026-07-21","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"副業の確定申告で失敗しやすい7つのポイントと対策","https://media.soam-creative.com/articles/article-09","お金・確定申告","商品やサービスを紹介し、誠実な収益導線を作りたい個人事業主・発信者","読者の課題解決と広告収益を、押し売りにならない形で両立できていない。","「副業の確定申告で失敗しやすい7つのポイントと対策」について、判断基準と具体的な進め方を知りたい。","affiliate","必要な人へ届ける","moneyforward-accounting|tax-audit-membership","active案件・記事テーマ一致を確認","主導線にはしない","article-01|article-02|article-06","2026-07-09","2026-08-07","KEEP|ADD_AFFILIATE|REWRITE|REMOVE_LINK_CTA",""
"診断ツールが集客に強い理由と読まれて終わらせない導線設計","https://media.soam-creative.com/articles/article-10","診断ツール活用","診断や質問を使って、顧客の迷いを整理したい小規模事業者・個人サービス提供者","診断結果を見せるだけになり、読者が自分に合う次の行動を選べていない。","「診断ツールが集客に強い理由と読まれて終わらせない導線設計」について、判断基準と具体的な進め方を知りたい。","diagnosis","判断を言葉にする","gleasin","active案件・記事テーマ一致を確認","主導線にはしない","article-14|article-20|article-25","2026-07-10","2026-08-08","KEEP|REWRITE|REMOVE_LINK_CTA",""
